var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65
3,17,96,85,20,30,100,98,20,16,15,65,13,33,47,77,58,32,33,81,43,7,56,75,65,9,16,67,53,27,95,54,25,8,20,10,44,41,2,55,93,88,88,6,20,47,23,33,78,77,59,25,73,9,100,62,15,94,30,65,75,88,42,73,4
18,13,59,84,21,67,46,20,63,84,12,64,15,0,20,5,7,0,87,57,95,84,11,46,92,81,28,48,98,69,72,69,10,62,77,2,15,80,20,72,12,86,77,4,60,23,61,11,9,83,61,84,73,57,47,27,100,66,81,32,46,67,93,54,86
42,9,51,62,22,46,72,62,17,75,38,84,46,26,99,23,46,5,38,70,19,22,85,96,95,73,78,41,67,45,90,46,4,90,90,76,57,46,30,100,30,10,71,62,21,12,59,19,54,16,45,16,80,80,49,71,4,75,18,59,18,78,85,14,74
26,33,98,62,75,28,19,57,44,80,36,23,55,78,95,71,84,71,66,16,95,86,25,54,41,21,88,39,65,30,62,56,58,76,79,86,72,22,28,1,2,59,69,45,69,25,72,90,36,10,51,18,98,16,73,14,83,80,86,59,85,62,97,88,100
61,60,95,5,46,98,51,28,6,52,32,18,77,37,0,10,78,11,74,37,37,86,41,21,4,41,45,94,68,88,93,78,73,12,81,15,66,8,51,86,72,87,37,32,72,48,51,36,45,71,15,3,29,67,38,25,1,65,75,26,51,5,64,25,4
59,25,98,11,46,53,52,39,94,32,23,67,21,20,76,20,11,100,28,3,74,78,17,87,81,66,10,40,16,63,80,92,79,38,24,76,84,83,40,88,87,13,78,36,53,66,39,47,84,78,31,60,65,0,45,79,87,30,7,84,88,80,15,70,12
3,48,14,4,98,69,35,54,96,72,47,0,83,76,20,89,65,4,61,11,2,60,41,40,72,77,80,3,97,96,35,67,66,88,76,43,65,86,18,92,21,68,42,91,36,58,74,91,68,81,65,93,66,57,55,71,17,33,89,67,100,96,27,52,0
68,21,87,89,91,87,92,92,76,67,47,19,42,7,32,50,60,63,39,96,70,16,52,72,89,44,36,75,26,71,19,81,30,78,77,25,31,31,74,79,49,71,62,57,89,5,45,41,51,40,48,24,37,50,94,40,82,94,22,90,65,3,18,7,6
29,99,23,32,79,53,58,4,86,34,83,48,97,40,85,62,76,95,7,78,77,97,68,99,96,96,55,88,95,33,47,91,7,63,0,85,91,19,79,91,76,6,60,84,10,76,56,21,54,2,28,19,4,67,64,55,77,2,66,76,60,44,88,43,63
42,63,82,80,10,0,29,2,41,91,5,46,32,33,89,70,63,7,58,0,70,48,31,36,47,35,37,98,83,40,69,68,78,9,67,61,72,96,60,2,83,84,84,88,25,87,37,47,31,13,17,69,54,45,32,12,32,79,47,48,66,14,34,11,38
32,78,22,50,84,97,28,78,17,16,89,53,85,13,79,53,31,86,15,16,93,30,46,15,89,61,55,98,8,3,0,15,25,95,32,52,92,76,66,89,67,90,8,83,92,63,34,79,57,8,36,53,58,3,40,75,36,58,66,7,35,57,44,25,8
20,30,39,33,72,51,68,84,72,90,25,62,35,78,0,16,83,99,70,56,58,37,45,51,70,54,55,48,35,10,47,19,84,67,47,47,8,94,77,32,29,29,38,18,75,75,64,94,7,40,45,39,41,47,11,53,30,79,8,80,11,8,90,56,34
20,87,42,68,35,82,20,10,94,95,58,59,82,49,16,28,73,67,72,32,1,100,21,70,53,48,59,55,72,48,4,46,28,21,53,43,73,90,21,8,68,57,39,99,45,19,41,11,15,41,22,6,96,39,65,98,26,16,80,26,5,90,100,45,90
5,90,13,81,70,10,36,85,18,41,1,36,19,65,13,82,18,87,36,16,0,86,84,57,68,1,96,99,35,61,14,56,54,20,87,77,39,16,31,46,46,80,3,38,19,75,73,27,79,82,9,20,10,22,89,47,64,34,27,49,17,66,86,30,11
45,89,38,49,92,23,97,49,17,63,82,89,48,84,51,43,6,40,69,41,50,62,73,98,48,49,12,33,73,16,70,96,85,52,35,1,89,71,40,87,93,63,56,24,0,98,46,22,27,23,18,32,54,9,67,15,51,40,33,45,7,69,53,8,87
52,87,6,43,1,2,81,86,73,21,28,3,93,92,94,71,100,57,54,75,99,91,20,25,18,56,37,84,16,22,88,46,77,46,71,93,7,85,81,78,91,94,85,62,61,30,46,97,67,64,93,17,14,87,61,89,58,14,42,24,1,43,4,0,61
18,95,31,49,74,18,31,49,27,22,28,9,81,75,36,11,89,86,76,54,62,20,99,92,84,4,32,11,25,15,58,75,12,93,14,71,33,44,70,12,26,92,38,45,32,76,63,83,46,36,22,41,25,47,32,39,64,78,73,81,95,70,38,74,100
99,87,88,89,32,94,77,44,8,51,78,72,10,73,30,45,86,36,16,0,92,19,46,37,36,41,84,43,78,74,53,11,80,69,41,14,19,3,59,67,74,2,2,33,100,26,16,1,57,60,92,62,27,9,91,38,59,38,26,46,98,89,84,67,17
40,31,81,7,92,53,52,57,74,66,38,43,76,42,25,13,92,40,67,35,18,48,64,59,94,16,15,10,33,5,95,1,14,63,90,78,85,3,21,92,5,77,3,23,20,43,16,26,12,64,82,8,46,67,81,60,78,78,33,96,81,46,75,22,42
95,3,40,36,76,95,10,62,88,27,86,27,15,99,90,96,75,99,36,21,47,84,28,1,23,62,78,61,28,37,5,77,80,9,13,77,90,18,65,76,29,80,25,71,53,97,30,49,96,89,16,40,16,2,57,58,49,10,73,61,63,26,93,24,63
26,84,97,70,52,10,14,28,77,23,21,22,71,52,29,65,53,82,9,32,7,19,80,76,60,26,66,100,2,73,19,62,43,39,44,8,89,68,73,57,25,13,35,5,48,15,76,22,57,75,25,48,66,34,49,18,54,61,85,42,23,83,7,99,20
20,83,78,11,91,85,88,91,23,22,46,63,18,99,1,85,23,4,58,62,50,19,86,41,21,13,45,68,12,64,89,24,91,96,26,74,88,15,29,68,50,86,34,30,20,59,94,50,54,40,37,25,92,37,66,32,42,12,21,97,1,5,12,26,12
95,86,90,5,87,62,39,15,2,10,50,85,91,10,65,36,81,66,1,7,69,96,41,84,55,65,32,4,80,46,88,53,94,41,85,77,25,72,94,84,28,61,76,67,47,43,4,38,70,75,43,37,37,14,70,87,73,5,12,88,19,50,81,83,85
15,72,9,30,45,43,10,63,83,93,8,34,86,71,60,75,27,38,92,29,11,49,57,76,97,15,71,28,26,85,2,35,39,15,52,16,26,24,63,51,76,76,72,94,24,75,36,43,35,75,13,51,40,77,75,95,24,24,54,90,34,32,48,82,13
36,30,41,34,95,24,52,31,57,62,58,58,92,58,23,96,31,95,59,29,71,44,98,68,91,84,10,69,20,16,41,51,70,18,37,41,49,12,32,14,2,67,96,29,56,5,9,40,86,12,91,17,54,59,5,8,92,25,15,7,16,51,14,62,63
15,23,45,49,20,5,97,53,8,63,87,3,73,46,76,47,71,43,32,10,60,10,4,45,35,62,96,19,18,9,74,94,77,81,95,49,20,34,23,66,91,2,14,52,69,16,81,14,0,42,45,97,5,67,23,28,20,94,100,41,24,68,66,70,8
8,57,90,41,36,93,58,99,42,24,0,16,60,22,6,70,97,55,61,98,50,63,15,40,32,100,13,60,80,54,28,95,16,3,75,44,84,50,32,56,37,64,32,28,57,35,58,82,22,6,64,7,20,39,72,46,8,31,72,66,52,82,95,69,46
26,77,38,9,31,98,86,41,25,3,18,36,28,14,68,20,39,90,16,69,48,28,21,60,4,56,50,78,16,48,45,58,82,15,14,35,39,63,38,51,49,27,78,12,60,52,96,58,67,60,99,81,17,86,92,2,41,97,18,85,86,13,71,95,88
15,82,39,7,7,1,75,47,75,44,1,45,97,87,7,94,2,4,24,19,69,73,40,33,39,62,97,16,35,97,91,81,48,8,91,79,50,18,62,33,47,11,9,30,46,99,100,76,89,59,58,100,72,27,45,25,93,54,67,31,98,18,18,54,88
68,17,88,22,33,68,67,0,47,33,67,86,68,85,3,72,52,44,27,38,74,79,22,96,66,58,84,5,36,25,87,84,2,13,69,46,93,0,9,50,4,16,99,5,63,5,38,83,62,73,81,18,31,60,34,0,66,64,0,11,25,73,36,38,17
77,27,3,10,81,58,17,44,55,88,83,40,49,55,88,64,85,62,12,97,82,73,97,34,69,22,19,28,1,88,81,40,25,32,36,4,90,47,79,10,13,42,82,51,71,87,45,35,57,98,78,43,25,3,84,3,23,66,80,26,75,98,9,72,23
57,31,66,32,9,46,69,58,42,43,100,57,40,85,97,44,39,82,63,28,18,37,42,34,61,34,50,8,99,14,52,71,91,83,77,75,65,15,80,13,49,47,5,45,83,71,71,15,55,57,47,11,70,62,85,13,23,4,91,44,1,76,13,81,34
60,80,81,75,31,63,24,18,30,54,6,80,89,59,97,28,71,89,9,63,0,73,41,46,81,18,77,79,31,97,10,77,14,5,40,54,44,82,60,0,7,73,7,11,37,38,95,60,30,29,61,20,1,27,89,1,3,8,29,97,42,26,62,62,48
46,33,16,72,45,86,21,10,83,53,73,5,81,73,4,39,26,37,2,46,77,58,0,59,98,84,91,49,93,63,1,6,97,71,2,66,59,72,96,71,78,63,52,62,60,94,81,26,39,8,46,89,16,55,94,30,14,9,36,58,45,86,41,88,43
52,53,71,21,61,41,96,71,75,20,78,80,40,71,91,89,36,14,48,73,58,55,28,3,25,7,92,13,65,13,16,56,20,51,13,38,40,51,19,79,67,42,12,50,12,55,87,96,22,45,46,66,96,40,95,80,58,84,80,87,8,96,15,54,76
73,47,66,50,81,100,58,56,68,51,31,24,97,92,4,68,68,69,59,45,76,44,84,71,87,60,55,45,3,94,83,33,3,38,58,39,70,59,75,16,30,46,13,83,15,84,81,99,59,11,76,97,42,77,14,5,68,61,31,69,74,100,65,68,54
97,80,64,59,98,74,61,21,33,54,88,16,80,86,99,82,74,58,57,89,4,71,66,64,18,35,81,26,41,67,24,45,92,96,77,75,80,63,58,39,71,86,4,60,12,14,4,89,40,62,2,66,14,3,35,32,74,36,78,67,52,78,50,70,55
69,41,66,20,79,42,46,77,86,12,10,78,21,32,90,89,75,93,44,73,70,68,7,37,83,98,1,80,25,20,27,96,47,50,18,44,15,80,0,52,59,86,96,59,8,49,30,67,60,15,83,31,65,5,87,97,57,5,24,0,6,53,74,79,86
45,64,65,74,69,10,80,67,46,37,8,88,8,50,30,20,94,59,21,81,40,47,2,43,9,60,20,36,6,77,10,47,0,62,48,6,98,55,49,50,49,10,56,99,9,50,25,43,44,87,31,22,99,30,73,28,53,12,31,92,60,81,95,75,58
63,61,1,93,7,21,68,22,68,34,29,3,33,84,44,10,0,57,75,83,35,52,93,56,58,64,85,11,50,57,58,68,52,41,24,67,72,57,95,89,86,90,70,46,30,78,13,73,2,73,69,17,79,64,15,5,90,40,56,38,42,48,60,67,64
44,85,27,60,23,92,3,74,37,39,94,27,70,18,55,78,45,15,100,26,23,76,24,30,29,71,38,44,52,46,76,29,18,49,55,92,90,31,61,68,39,23,94,50,22,66,70,98,60,75,69,59,96,4,14,42,19,99,29,12,38,47,50,48,53
82,86,86,2,21,49,72,85,54,58,95,95,30,3,27,36,93,24,89,98,20,75,60,12,100,43,78,94,67,20,40,30,95,55,50,85,88,49,72,24,26,62,53,31,8,6,1,25,68,85,72,31,94,17,44,39,47,66,58,88,8,64,87,7,26
66,83,19,48,61,73,22,93,75,7,40,5,63,76,42,40,46,28,12,98,72,63,70,83,3,34,35,17,85,86,23,19,48,3,72,82,16,98,39,37,37,31,1,47,72,70,3,97,55,73,60,45,54,86,39,99,4,69,46,58,90,91,86,61,53
38,54,24,56,21,42,7,0,58,95,83,77,11,49,26,34,93,2,70,0,32,22,42,42,95,68,43,59,79,73,9,100,86,4,63,96,65,52,21,98,64,5,56,38,88,5,47,32,4,11,80,80,22,30,24,40,5,93,15,36,59,61,84,94,26
7,99,98,96,71,61,3,24,79,87,1,54,15,70,68,97,66,28,68,89,45,25,76,95,37,36,56,75,23,26,97,66,51,93,7,25,0,86,15,64,35,97,90,64,23,16,72,2,79,16,66,66,23,67,56,28,38,3,33,43,34,67,95,32,73
51,37,25,25,25,47,27,46,48,47,76,77,57,87,12,18,50,84,48,94,27,14,43,53,12,71,90,0,88,99,66,7,36,24,80,92,73,66,21,26,38,40,0,28,48,87,99,72,31,49,12,72,93,96,7,41,27,34,25,14,39,64,17,19,28
27,1,59,80,54,18,87,83,78,77,3,65,81,52,71,99,15,25,59,6,37,53,30,56,60,82,89,80,98,63,76,43,18,80,70,3,99,79,79,53,75,2,93,73,12,86,69,31,87,79,46,18,51,49,82,11,14,98,67,39,98,1,40,29,74
21,32,81,95,76,96,35,56,74,33,100,38,24,95,67,81,93,62,62,98,74,83,90,31,32,26,52,100,28,71,28,5,58,67,89,9,33,57,68,72,44,58,83,58,48,36,16,17,79,77,60,25,79,71,1,93,98,70,38,29,34,19,53,28,7
21,92,97,4,71,37,65,50,2,86,84,28,55,21,26,27,0,49,86,36,55,42,12,26,75,17,7,21,7,44,8,26,2,20,14,58,94,16,49,4,43,68,8,6,17,50,7,42,92,41,39,56,91,68,83,72,11,88,25,42,1,4,13,88,51
70,1,76,30,46,98,93,48,11,56,79,26,77,20,62,92,66,68,94,83,59,0,65,12,45,17,42,34,99,84,66,96,22,78,80,14,38,33,64,7,7,45,2,80,52,77,62,96,58,23,4,2,55,73,29,82,92,96,17,38,57,21,37,98,81
1,68,20,31,47,81,49,59,10,27,95,11,63,16,27,24,98,45,85,82,34,51,53,70,47,26,14,23,17,5,82,95,24,57,99,94,22,14,68,88,18,83,19,86,17,69,62,95,65,64,53,63,21,88,31,48,51,0,38,44,72,62,45,46,47
91,54,61,11,79,27,46,60,38,12,12,39,29,71,43,36,95,22,60,16,96,99,12,93,92,81,90,28,25,68,55,96,60,42,48,82,26,68,66,14,40,8,1,50,22,4,8,71,40,16,11,43,3,26,42,90,25,69,36,79,94,28,18,1,85
69,92,7,85,12,35,30,34,98,61,44,69,11,57,81,7,14,10,35,58,5,61,41,72,74,12,13,34,6,70,61,0,61,40,58,11,29,44,50,90,22,28,84,96,85,42,51,17,1,96,28,63,14,77,35,88,4,84,95,91,54,69,86,32,90
74,52,40,54,74,86,69,99,22,46,10,15,11,46,45,83,57,69,36,60,89,61,65,67,73,12,14,68,23,9,100,10,10,94,13,61,14,95,67,88,27,16,47,41,82,22,66,59,65,23,85,65,66,57,98,13,50,74,69,56,30,42,30,87,49
22,94,62,44,21,78,79,41,35,20,17,63,88,18,58,86,3,79,93,28,93,96,11,74,48,70,72,42,86,80,1,85,73,16,24,71,99,24,80,95,65,90,86,61,12,45,46,57,73,82,49,90,50,14,89,35,12,49,57,93,60,96,28,6,92
47,75,62,10,100,48,58,17,3,1,62,96,52,68,24,9,64,78,98,64,39,8,42,19,73,18,32,67,2,3,79,26,92,34,9,34,58,16,11,73,24,28,74,76,60,82,39,36,29,14,83,65,12,39,0,21,12,8,74,6,90,70,42,69,47
25,16,14,48,89,12,97,73,36,14,65,73,9,10,31,49,82,47,46,57,8,40,98,95,90,53,93,58,25,67,1,48,92,81,78,78,44,2,41,79,50,49,98,56,41,3,36,63,100,100,71,65,29,35,7,67,22,69,16,7,27,4,30,40,65
20,13,9,90,55,73,44,2,69,83,81,98,99,27,43,44,35,77,92,26,37,88,31,29,7,33,28,82,18,17,87,79,18,33,44,40,6,73,23,33,98,68,53,14,13,96,42,60,100,30,50,33,15,47,56,91,70,74,23,46,60,99,90,0,8
57,48,52,42,37,5,94,32,16,22,84,75,52,52,63,11,41,26,97,35,49,9,91,94,29,80,14,25,19,11,54,27,92,4,10,16,18,47,22,17,20,69,31,62,99,95,64,15,33,97,24,65,18,97,33,15,18,27,12,14,71,5,99,16,23
22,100,91,72,9,11,65,57,93,17,28,39,28,7,81,53,38,56,63,0,75,33,24,4,76,43,97,84,87,60,4,37,60,29,88,96,41,22,28,51,8,8,86,73,45,24,0,64,36,32,27,55,55,75,78,0,94,31,41,65,8,52,88,97,53
22,72,22,23,53,69,77,7,4,56,9,74,0,54,84,34,19,60,57,95,23,61,68,46,89,19,44,10,17,8,77,67,46,21,28,73,47,99,39,57,91,15,49,14,40,51,84,7,38,45,45,65,80,21,63,28,9,19,23,39,37,51,83,56,100
53,10,60,45,48,93,6,96,95,46,95,16,23,53,93,25,28,33,75,88,41,18,52,29,95,32,13,89,44,68,96,93,19,19,89,64,29,74,52,60,5,47,50,44,80,21,63,37,3,79,28,92,8,29,3,78,13,64,49,7,57,35,9,23,59
38,65,73,33,60,97,33,51,19,0,46,3,89,91,99,5,81,16,27,0,65,65,76,37,94,78,15,64,22,48,97,8,97,70,58,92,5,51,94,60,94,91,41,58,46,27,53,19,92,27,37,41,71,19,75,99,62,80,51,38,18,41,36,46,34
90,29,19,56,42,70,8,58,82,72,65,3,14,65,7,21,92,24,29,78,41,37,77,33,5,12,10,99,66,70,73,36,55,85,59,6,4,29,56,2,83,92,98,47,91,17,45,45,36,92,86,98,29,69,41,70,43,0,87,65,72,99,17,24,93
90,80,23,28,79,32,10,19,24,69,58,37,0,41,69,59,1,6,85,5,55,86,72,93,66,68,69,5,65,34,64,15,71,95,0,50,99,69,25,97,75,76,60,93,12,15,25,67,44,20,83,91,77,56,32,12,36,29,11,80,32,100,90,56,37
70,85,0,50,93,95,26,20,6,64,1,20,84,54,55,10,81,78,73,100,78,31,76,96,43,46,48,21,53,61,1,42,46,22,30,63,33,80,39,45,41,26,96,24,6,56,61,71,70,82,68,51,59,10,50,79,48,31,39,10,72,67,75,92,85
79,7,89,10,88,5,6,28,18,1,30,100,29,26,31,83,2,33,79,29,76,73,28,14,28,58,77,69,37,15,35,46,7,10,85,35,15,34,73,24,71,11,18,84,53,77,96,0,98,93,34,51,81,29,74,29,73,84,56,71,60,63,99,59,37
88,21,98,100,47,68,93,80,5,37,59,79,58,74,58,65,54,56,52,94,63,21,100,50,56,33,95,40,49,12,54,66,43,37,94,61,90,13,59,88,23,7,98,67,78,52,96,71,24,90,40,39,28,24,87,96,84,28,11,29,10,59,21,98,75
95,70,22,89,35,30,6,25,87,48,41,0,51,33,2,37,29,35,84,82,74,37,86,60,73,73,75,35,46,64,63,18,79,39,69,44,5,97,47,20,65,56,37,33,58,50,63,93,46,3,18,17,99,68,17,61,71,23,45,51,5,69,29,21,35
83,54,21,90,35,95,50,75,44,49,24,46,83,59,40,96,88,61,26,92,49,77,68,67,51,32,89,22,2,39,5,49,33,17,28,30,78,16,45,90,11,60,41,96,8,98,90,75,100,9,57,7,85,44,6,28,27,89,34,22,99,73,46,89,22
59,14,69,34,22,66,53,57,91,30,44,81,9,72,66,89,77,29,69,18,97,66,72,67,7,3,22,76,10,2,7,94,32,45,34,88,21,30,3,95,100,51,19,34,61,69,11,54,25,82,17,62,2,33,67,43,78,78,47,2,34,42,51,54,60
66,95,83,79,90,81,87,61,72,72,82,94,2,92,5,28,3,100,83,12,78,70,15,26,82,29,67,73,82,85,17,69,62,54,76,93,61,57,25,92,87,74,17,49,99,32,60,77,25,26,17,59,77,69,78,75,42,64,11,11,2,40,32,43,45
29,42,70,41,20,65,79,6,97,40,52,48,83,70,79,83,71,48,91,51,29,48,0,48,73,83,45,27,47,22,8,65,89,62,43,96,46,52,78,37,65,46,100,35,30,46,28,89,80,24,53,55,74,23,71,75,36,5,28,8,4,19,37,59,29
7,93,79,69,79,14,36,52,51,90,94,23,69,95,36,68,84,44,34,60,53,60,96,22,98,17,26,42,85,99,86,49,50,32,67,51,69,66,17,62,53,64,94,20,68,35,43,62,8,38,34,79,3,38,37,11,17,34,89,7,19,99,15,10,46
10,28,99,90,54,17,78,23,0,81,98,87,93,7,66,83,65,28,67,36,10,56,6,53,35,35,66,61,5,70,71,93,58,35,22,94,41,13,16,18,94,49,66,53,84,42,70,30,44,91,44,93,32,81,34,3,81,55,79,99,27,78,21,10,67
23,12,54,64,43,18,90,67,84,59,48,6,61,39,77,43,93,80,95,42,86,84,18,79,6,76,92,11,83,18,50,87,3,17,32,62,90,72,99,48,41,43,36,46,74,24,73,10,7,69,17,23,30,63,51,94,70,2,66,49,14,4,77,11,72
15,47,80,71,39,87,37,44,48,44,9,23,87,40,98,41,98,40,44,2,20,57,55,29,75,92,89,22,36,99,14,41,73,88,78,98,14,33,14,25,27,31,60,68,0,36,4,59,98,16,54,31,96,53,83,66,52,42,14,3,80,81,36,4,27
76,74,92,89,61,15,79,46,40,23,34,14,93,9,46,99,74,86,75,88,38,2,100,2,55,33,2,38,88,30,4,54,31,66,54,21,45,47,32,23,30,48,11,93,96,88,91,13,48,45,30,14,18,1,61,80,19,84,0,41,84,24,78,62,41
25,24,93,71,39,27,11,100,49,28,16,82,90,29,93,84,97,62,82,0,96,20,3,60,59,41,14,93,5,29,76,58,19,34,68,86,14,85,50,47,79,41,48,84,68,45,45,5,47,49,35,67,79,7,14,1,20,58,95,17,33,14,76,91,52
82,84,47,1,48,36,23,86,63,17,93,85,74,54,46,98,14,73,47,2,97,41,10,14,51,96,60,41,94,57,41,67,74,19,62,2,31,79,93,91,96,90,4,15,34,3,3,1,26,79,53,65,25,68,62,17,88,7,100,52,82,41,72,91,42
44,66,75,41,87,20,53,95,97,1,32,2,17,29,94,18,81,14,69,73,16,32,48,10,88,97,66,20,54,85,6,49,44,58,99,14,97,47,38,52,100,21,94,43,33,11,100,41,24,44,80,46,45,37,42,53,37,59,97,99,13,78,10,32,2
99,60,39,96,7,18,59,64,37,74,60,48,23,69,21,16,91,90,55,52,94,99,29,55,41,33,25,15,17,95,56,29,25,45,84,41,76,93,80,55,22,79,48,3,73,70,31,99,18,31,91,12,35,45,30,70,64,71,80,42,27,51,85,71,93
61,31,9,8,56,70,49,3,88,87,15,24,17,13,92,73,7,61,98,10,94,47,96,58,10,62,93,71,33,11,76,80,49,64,77,81,50,83,76,95,15,70,98,41,18,67,59,21,39,62,57,99,3,70,53,6,17,61,15,49,69,49,81,60,90
58,79,61,63,9,54,57,87,72,73,87,31,78,12,34,49,88,70,27,61,40,29,83,64,90,43,60,1,9,89,17,74,86,2,31,37,76,93,9,69,33,38,17,95,55,60,25,92,31,78,63,83,78,55,76,81,16,20,6,64,35,65,23,95,53
32,33,97,46,6,34,73,32,77,86,15,41,68,13,87,97,85,97,57,16,19,87,78,82,67,100,35,28,58,60,98,41,91,81,9,5,57,48,20,45,68,66,39,82,36,63,66,35,67,95,15,67,80,51,24,19,26,78,59,41,58,61,27,49,34
94,52,27,35,69,30,20,7,96,0,89,91,45,39,25,46,51,69,35,39,92,70,55,38,97,79,50,66,11,38,64,93,44,24,22,74,28,38,58,71,2,73,34,92,26,14,47,31,22,21,55,1,37,83,19,50,28,53,81,77,24,38,33,69,78
84,68,72,2,82,96,63,100,3,9,53,47,33,43,34,22,44,51,100,1,74,35,65,21,7,43,96,39,39,15,58,64,13,42,56,72,4,49,74,94,32,7,93,63,97,55,67,45,93,7,89,11,65,65,15,17,29,13,0,43,35,22,9,39,56
60,65,64,13,47,66,85,58,59,16,36,57,0,62,50,71,16,18,54,80,70,36,89,38,9,90,40,55,52,47,92,5,19,60,63,59,48,22,28,72,91,74,15,2,0,77,53,51,76,16,12,73,57,20,81,39,10,83,95,9,31,58,15,35,50
36,51,9,82,29,81,63,99,96,7,11,30,58,47,33,86,94,46,16,0,67,57,58,97,82,75,41,90,85,41,65,98,88,87,99,68,42,52,27,40,70,1,44,17,65,76,81,15,33,48,33,91,19,71,89,11,49,15,94,84,97,33,32,5,23
70,93,63,82,83,45,8,80,42,75,23,55,0,87,55,31,31,61,4,51,85,20,85,42,74,5,67,38,90,69,94,15,26,85,58,84,53,73,93,50,41,79,81,17,86,53,60,14,12,78,50,73,53,78,13,30,15,68,89,28,78,79,17,21,94
100,79,67,49,52,1,87,12,84,46,54,39,94,66,95,33,16,95,51,90,97,88,51,13,87,68,19,43,33,40,4,97,33,66,59,37,2,72,63,25,21,67,14,43,89,38,1,80,63,97,34,4,18,41,63,20,67,22,43,59,76,28,43,62,64
10,7,52,58,83,70,41,57,90,93,8,11,61,16,20,14,18,90,58,68,79,41,96,39,59,94,85,85,74,27,5,43,41,51,35,95,55,71,48,71,36,86,9,82,3,62,10,47,83,24,16,0,47,8,78,89,24,89,16,61,84,91,17,32,94
43,48,58,53,54,14,70,60,14,97,81,69,31,66,22,19,89,1,60,39,71,75,79,35,72,96,96,42,56,58,41,67,100,72,33,29,40,97,25,68,52,13,88,7,29,85,27,9,23,79,70,94,6,77,6,24,74,68,91,37,15,83,44,61,50
16,6,54,4,85,13,16,72,90,50,56,41,40,36,13,70,95,6,5,69,55,44,89,10,100,83,38,30,0,21,57,15,42,79,30,55,84,41,68,82,86,63,35,60,42,64,49,40,1,0,85,39,42,14,13,80,90,23,70,5,2,72,13,42,25
